>NZ_CP043554.1 Vibrio cholerae strain RFB16 chromosome 1, complete sequence
  Start: 1, End: 10000, G band, GC%: 48.56, AT%: 51.44
  Start: 890001, End: 900000, G band, GC%: 46.58, AT%: 53.42
  Start: 900001, End: 910000, G band, GC%: 48.44, AT%: 51.56
  Start: 910001, End: 920000, R band, GC%: 51.38, AT%: 48.62
  Start: 920001, End: 930000, G band, GC%: 48.03, AT%: 51.97
  Start: 930001, End: 940000, G band, GC%: 49.25, AT%: 50.75
  Start: 940001, End: 950000, G band, GC%: 41.58, AT%: 58.42
  Start: 950001, End: 960000, G band, GC%: 42.72, AT%: 57.28
  Start: 960001, End: 970000, G band, GC%: 42.31, AT%: 57.69
  Start: 970001, End: 980000, G band, GC%: 40.31, AT%: 59.69
  Start: 980001, End: 990000, G band, GC%: 41.88, AT%: 58.12
  Start: 990001, End: 1000000, G band, GC%: 43.02, AT%: 56.98
  Start: 1000001, End: 1010000, G band, GC%: 42.34, AT%: 57.66
  Start: 1010001, End: 1020000, G band, GC%: 41.65, AT%: 58.35
  Start: 1020001, End: 1030000, G band, GC%: 42.83, AT%: 57.17
  Start: 1030001, End: 1040000, G band, GC%: 42.23, AT%: 57.77
  Start: 1040001, End: 1050000, G band, GC%: 43.0, AT%: 57.0
  Start: 1050001, End: 1060000, G band, GC%: 43.29, AT%: 56.71
  Start: 1060001, End: 1070000, G band, GC%: 40.86, AT%: 59.14
  Start: 1070001, End: 1080000, G band, GC%: 44.75, AT%: 55.25
  Start: 1080001, End: 1090000, G band, GC%: 49.56, AT%: 50.44
  Start: 1090001, End: 1100000, G band, GC%: 45.73, AT%: 54.27
  Start: 1100001, End: 1110000, G band, GC%: 48.11, AT%: 51.89
  Start: 1110001, End: 1120000, G band, GC%: 46.34, AT%: 53.66
  Start: 1120001, End: 1130000, G band, GC%: 45.11, AT%: 54.89
  Start: 1130001, End: 1140000, G band, GC%: 45.43, AT%: 54.57
  Start: 1140001, End: 1140710, G band, GC%: 42.82, AT%: 57.18
