>NZ_CP043554.1 Vibrio cholerae strain RFB16 chromosome 1, complete sequence
  Start: 1, End: 5000, Banda R, GC%: 50.92, AT%: 49.08
  Start: 1830001, End: 1835000, Banda G, GC%: 47.08, AT%: 52.92
  Start: 1835001, End: 1840000, Banda G, GC%: 48.68, AT%: 51.32
  Start: 1840001, End: 1845000, Banda G, GC%: 48.2, AT%: 51.8
  Start: 1845001, End: 1850000, Banda R, GC%: 50.04, AT%: 49.96
  Start: 1850001, End: 1855000, Banda G, GC%: 47.9, AT%: 52.1
  Start: 1855001, End: 1860000, Banda G, GC%: 47.68, AT%: 52.32
  Start: 1860001, End: 1865000, Banda R, GC%: 50.02, AT%: 49.98
  Start: 1865001, End: 1870000, Banda G, GC%: 45.72, AT%: 54.28
  Start: 1870001, End: 1875000, Banda G, GC%: 45.62, AT%: 54.38
  Start: 1875001, End: 1880000, Banda G, GC%: 45.96, AT%: 54.04
  Start: 1880001, End: 1885000, Banda G, GC%: 48.24, AT%: 51.76
  Start: 1885001, End: 1890000, Banda G, GC%: 48.84, AT%: 51.16
  Start: 1890001, End: 1895000, Banda G, GC%: 47.04, AT%: 52.96
  Start: 1895001, End: 1900000, Banda G, GC%: 48.14, AT%: 51.86
  Start: 1900001, End: 1905000, Banda G, GC%: 44.6, AT%: 55.4
  Start: 1905001, End: 1910000, Banda G, GC%: 47.7, AT%: 52.3
  Start: 1910001, End: 1915000, Banda G, GC%: 48.08, AT%: 51.92
  Start: 1915001, End: 1920000, Banda G, GC%: 45.38, AT%: 54.62
  Start: 1920001, End: 1925000, Banda G, GC%: 48.36, AT%: 51.64
  Start: 1925001, End: 1930000, Banda G, GC%: 48.42, AT%: 51.58
  Start: 1930001, End: 1935000, Banda R, GC%: 50.06, AT%: 49.94
  Start: 1935001, End: 1940000, Banda G, GC%: 47.36, AT%: 52.64
  Start: 1940001, End: 1945000, Banda G, GC%: 48.7, AT%: 51.3
  Start: 1945001, End: 1950000, Banda R, GC%: 51.56, AT%: 48.44
  Start: 1950001, End: 1955000, Banda G, GC%: 48.98, AT%: 51.02
  Start: 1955001, End: 1960000, Banda G, GC%: 48.76, AT%: 51.24
  Start: 1960001, End: 1965000, Banda G, GC%: 49.08, AT%: 50.92
  Start: 1965001, End: 1970000, Banda G, GC%: 45.88, AT%: 54.12
  Start: 1970001, End: 1975000, Banda G, GC%: 45.46, AT%: 54.54
  Start: 1975001, End: 1980000, Banda G, GC%: 45.32, AT%: 54.68
  Start: 1980001, End: 1985000, Banda G, GC%: 45.6, AT%: 54.4
  Start: 1985001, End: 1990000, Banda G, GC%: 45.04, AT%: 54.96
  Start: 1990001, End: 1995000, Banda G, GC%: 44.88, AT%: 55.12
  Start: 1995001, End: 2000000, Banda G, GC%: 45.06, AT%: 54.94
  Start: 2000001, End: 2005000, Banda G, GC%: 48.8, AT%: 51.2
  Start: 2005001, End: 2010000, Banda G, GC%: 49.56, AT%: 50.44
  Start: 2010001, End: 2015000, Banda G, GC%: 48.62, AT%: 51.38
  Start: 2015001, End: 2020000, Banda G, GC%: 46.52, AT%: 53.48
  Start: 2020001, End: 2025000, Banda G, GC%: 47.46, AT%: 52.54
  Start: 2025001, End: 2030000, Banda G, GC%: 44.36, AT%: 55.64
  Start: 2030001, End: 2035000, Banda G, GC%: 46.04, AT%: 53.96
  Start: 2035001, End: 2040000, Banda G, GC%: 41.34, AT%: 58.66
  Start: 2040001, End: 2045000, Banda G, GC%: 38.98, AT%: 61.02
  Start: 2045001, End: 2050000, Banda G, GC%: 39.46, AT%: 60.54
  Start: 2050001, End: 2055000, Banda G, GC%: 47.74, AT%: 52.26
  Start: 2055001, End: 2060000, Banda G, GC%: 47.32, AT%: 52.68
  Start: 2060001, End: 2065000, Banda G, GC%: 48.24, AT%: 51.76
  Start: 2065001, End: 2070000, Banda G, GC%: 45.84, AT%: 54.16
  Start: 2070001, End: 2075000, Banda G, GC%: 47.08, AT%: 52.92
  Start: 2075001, End: 2080000, Banda G, GC%: 49.38, AT%: 50.62
  Start: 2080001, End: 2085000, Banda R, GC%: 50.02, AT%: 49.98
  Start: 2085001, End: 2090000, Banda G, GC%: 47.84, AT%: 52.16
  Start: 2090001, End: 2095000, Banda R, GC%: 50.46, AT%: 49.54
  Start: 2095001, End: 2100000, Banda G, GC%: 48.0, AT%: 52.0
  Start: 2100001, End: 2105000, Banda G, GC%: 41.82, AT%: 58.18
  Start: 2105001, End: 2110000, Banda G, GC%: 48.18, AT%: 51.82
  Start: 2110001, End: 2115000, Banda G, GC%: 45.44, AT%: 54.56
  Start: 2115001, End: 2120000, Banda G, GC%: 44.06, AT%: 55.94
  Start: 2120001, End: 2125000, Banda G, GC%: 42.96, AT%: 57.04
  Start: 2125001, End: 2130000, Banda R, GC%: 50.74, AT%: 49.26
  Start: 2130001, End: 2135000, Banda G, GC%: 49.52, AT%: 50.48
  Start: 2135001, End: 2140000, Banda R, GC%: 51.76, AT%: 48.24
  Start: 2140001, End: 2145000, Banda G, GC%: 49.2, AT%: 50.8
  Start: 2145001, End: 2150000, Banda G, GC%: 47.8, AT%: 52.2
  Start: 2150001, End: 2155000, Banda R, GC%: 51.14, AT%: 48.86
  Start: 2155001, End: 2160000, Banda R, GC%: 50.28, AT%: 49.72
  Start: 2160001, End: 2165000, Banda G, GC%: 47.48, AT%: 52.52
  Start: 2165001, End: 2170000, Banda G, GC%: 47.7, AT%: 52.3
  Start: 2170001, End: 2175000, Banda G, GC%: 48.92, AT%: 51.08
  Start: 2175001, End: 2180000, Banda G, GC%: 47.98, AT%: 52.02
  Start: 2180001, End: 2185000, Banda G, GC%: 49.36, AT%: 50.64
  Start: 2185001, End: 2190000, Banda G, GC%: 48.52, AT%: 51.48
  Start: 2190001, End: 2195000, Banda G, GC%: 49.34, AT%: 50.66
  Start: 2195001, End: 2200000, Banda G, GC%: 47.26, AT%: 52.74
  Start: 2200001, End: 2205000, Banda G, GC%: 49.32, AT%: 50.68
  Start: 2205001, End: 2210000, Banda G, GC%: 48.46, AT%: 51.54
  Start: 2210001, End: 2215000, Banda G, GC%: 49.34, AT%: 50.66
  Start: 2215001, End: 2220000, Banda G, GC%: 47.98, AT%: 52.02
  Start: 2220001, End: 2225000, Banda R, GC%: 50.02, AT%: 49.98
  Start: 2225001, End: 2230000, Banda G, GC%: 49.52, AT%: 50.48
  Start: 2230001, End: 2235000, Banda G, GC%: 44.72, AT%: 55.28
  Start: 2235001, End: 2240000, Banda G, GC%: 46.96, AT%: 53.04
  Start: 2240001, End: 2245000, Banda G, GC%: 48.02, AT%: 51.98
  Start: 2245001, End: 2250000, Banda R, GC%: 50.78, AT%: 49.22
  Start: 2250001, End: 2255000, Banda G, GC%: 49.5, AT%: 50.5
  Start: 2255001, End: 2260000, Banda R, GC%: 50.12, AT%: 49.88
  Start: 2260001, End: 2265000, Banda G, GC%: 44.7, AT%: 55.3
  Start: 2265001, End: 2270000, Banda G, GC%: 48.02, AT%: 51.98
  Start: 2270001, End: 2275000, Banda G, GC%: 46.02, AT%: 53.98
  Start: 2275001, End: 2280000, Banda G, GC%: 47.9, AT%: 52.1
  Start: 2280001, End: 2285000, Banda G, GC%: 48.62, AT%: 51.38
  Start: 2285001, End: 2290000, Banda G, GC%: 47.38, AT%: 52.62
  Start: 2290001, End: 2295000, Banda G, GC%: 48.48, AT%: 51.52
  Start: 2295001, End: 2300000, Banda G, GC%: 48.98, AT%: 51.02
  Start: 2300001, End: 2305000, Banda G, GC%: 47.58, AT%: 52.42
  Start: 2305001, End: 2310000, Banda G, GC%: 46.4, AT%: 53.6
  Start: 2310001, End: 2315000, Banda G, GC%: 44.9, AT%: 55.1
  Start: 2315001, End: 2320000, Banda G, GC%: 47.88, AT%: 52.12
  Start: 2320001, End: 2325000, Banda G, GC%: 48.0, AT%: 52.0
  Start: 2325001, End: 2330000, Banda G, GC%: 46.5, AT%: 53.5
  Start: 2330001, End: 2335000, Banda G, GC%: 48.76, AT%: 51.24
  Start: 2335001, End: 2340000, Banda R, GC%: 50.66, AT%: 49.34
  Start: 2340001, End: 2345000, Banda R, GC%: 50.34, AT%: 49.66
  Start: 2345001, End: 2350000, Banda G, GC%: 47.98, AT%: 52.02
  Start: 2350001, End: 2355000, Banda G, GC%: 48.7, AT%: 51.3
  Start: 2355001, End: 2360000, Banda R, GC%: 52.8, AT%: 47.2
  Start: 2360001, End: 2365000, Banda R, GC%: 50.4, AT%: 49.6
  Start: 2365001, End: 2370000, Banda R, GC%: 50.3, AT%: 49.7
  Start: 2370001, End: 2375000, Banda G, GC%: 46.62, AT%: 53.38
  Start: 2375001, End: 2380000, Banda G, GC%: 46.4, AT%: 53.6
  Start: 2380001, End: 2385000, Banda G, GC%: 45.08, AT%: 54.92
  Start: 2385001, End: 2390000, Banda G, GC%: 47.0, AT%: 53.0
  Start: 2390001, End: 2395000, Banda G, GC%: 46.32, AT%: 53.68
  Start: 2395001, End: 2400000, Banda G, GC%: 49.42, AT%: 50.58
  Start: 2400001, End: 2405000, Banda R, GC%: 50.44, AT%: 49.56
  Start: 2405001, End: 2410000, Banda G, GC%: 48.4, AT%: 51.6
  Start: 2410001, End: 2415000, Banda G, GC%: 49.76, AT%: 50.24
  Start: 2415001, End: 2420000, Banda R, GC%: 50.42, AT%: 49.58
  Start: 2420001, End: 2425000, Banda G, GC%: 48.96, AT%: 51.04
  Start: 2425001, End: 2430000, Banda G, GC%: 49.44, AT%: 50.56
  Start: 2430001, End: 2435000, Banda G, GC%: 48.1, AT%: 51.9
  Start: 2435001, End: 2440000, Banda G, GC%: 44.06, AT%: 55.94
  Start: 2440001, End: 2445000, Banda G, GC%: 40.74, AT%: 59.26
  Start: 2445001, End: 2450000, Banda G, GC%: 41.64, AT%: 58.36
  Start: 2450001, End: 2455000, Banda G, GC%: 44.0, AT%: 56.0
  Start: 2455001, End: 2460000, Banda G, GC%: 48.56, AT%: 51.44
  Start: 2460001, End: 2465000, Banda G, GC%: 44.26, AT%: 55.74
  Start: 2465001, End: 2470000, Banda G, GC%: 45.74, AT%: 54.26
  Start: 2470001, End: 2475000, Banda R, GC%: 50.26, AT%: 49.74
  Start: 2475001, End: 2480000, Banda G, GC%: 49.42, AT%: 50.58
  Start: 2480001, End: 2485000, Banda R, GC%: 50.84, AT%: 49.16
  Start: 2485001, End: 2490000, Banda R, GC%: 50.6, AT%: 49.4
  Start: 2490001, End: 2495000, Banda G, GC%: 49.16, AT%: 50.84
  Start: 2495001, End: 2500000, Banda G, GC%: 47.76, AT%: 52.24
  Start: 2500001, End: 2505000, Banda G, GC%: 47.64, AT%: 52.36
  Start: 2505001, End: 2510000, Banda G, GC%: 48.96, AT%: 51.04
  Start: 2510001, End: 2515000, Banda G, GC%: 46.56, AT%: 53.44
  Start: 2515001, End: 2520000, Banda G, GC%: 49.3, AT%: 50.7
  Start: 2520001, End: 2525000, Banda G, GC%: 47.9, AT%: 52.1
  Start: 2525001, End: 2530000, Banda R, GC%: 50.22, AT%: 49.78
  Start: 2530001, End: 2535000, Banda G, GC%: 49.76, AT%: 50.24
  Start: 2535001, End: 2540000, Banda G, GC%: 44.04, AT%: 55.96
  Start: 2540001, End: 2545000, Banda G, GC%: 48.5, AT%: 51.5
  Start: 2545001, End: 2550000, Banda G, GC%: 49.3, AT%: 50.7
  Start: 2550001, End: 2555000, Banda G, GC%: 48.88, AT%: 51.12
  Start: 2555001, End: 2560000, Banda G, GC%: 47.02, AT%: 52.98
  Start: 2560001, End: 2565000, Banda G, GC%: 48.88, AT%: 51.12
  Start: 2565001, End: 2570000, Banda G, GC%: 48.44, AT%: 51.56
  Start: 2570001, End: 2575000, Banda G, GC%: 49.7, AT%: 50.3
  Start: 2575001, End: 2580000, Banda G, GC%: 48.24, AT%: 51.76
  Start: 2580001, End: 2585000, Banda G, GC%: 46.3, AT%: 53.7
  Start: 2585001, End: 2590000, Banda G, GC%: 46.4, AT%: 53.6
  Start: 2590001, End: 2595000, Banda G, GC%: 47.76, AT%: 52.24
  Start: 2595001, End: 2600000, Banda G, GC%: 42.96, AT%: 57.04
  Start: 2600001, End: 2605000, Banda G, GC%: 47.92, AT%: 52.08
  Start: 2605001, End: 2610000, Banda G, GC%: 42.34, AT%: 57.66
  Start: 2610001, End: 2615000, Banda G, GC%: 47.04, AT%: 52.96
  Start: 2615001, End: 2620000, Banda G, GC%: 46.52, AT%: 53.48
  Start: 2620001, End: 2625000, Banda G, GC%: 46.7, AT%: 53.3
  Start: 2625001, End: 2630000, Banda G, GC%: 48.12, AT%: 51.88
  Start: 2630001, End: 2635000, Banda G, GC%: 48.08, AT%: 51.92
  Start: 2635001, End: 2640000, Banda G, GC%: 47.24, AT%: 52.76
  Start: 2640001, End: 2645000, Banda G, GC%: 48.92, AT%: 51.08
  Start: 2645001, End: 2650000, Banda G, GC%: 48.96, AT%: 51.04
  Start: 2650001, End: 2655000, Banda G, GC%: 49.4, AT%: 50.6
  Start: 2655001, End: 2660000, Banda G, GC%: 48.52, AT%: 51.48
  Start: 2660001, End: 2665000, Banda G, GC%: 46.94, AT%: 53.06
  Start: 2665001, End: 2670000, Banda G, GC%: 45.7, AT%: 54.3
  Start: 2670001, End: 2675000, Banda R, GC%: 50.86, AT%: 49.14
  Start: 2675001, End: 2680000, Banda R, GC%: 50.26, AT%: 49.74
  Start: 2680001, End: 2685000, Banda G, GC%: 48.34, AT%: 51.66
  Start: 2685001, End: 2690000, Banda G, GC%: 48.42, AT%: 51.58
  Start: 2690001, End: 2695000, Banda R, GC%: 52.22, AT%: 47.78
  Start: 2695001, End: 2700000, Banda R, GC%: 50.64, AT%: 49.36
  Start: 2700001, End: 2705000, Banda G, GC%: 49.5, AT%: 50.5
  Start: 2705001, End: 2710000, Banda G, GC%: 48.02, AT%: 51.98
  Start: 2710001, End: 2715000, Banda R, GC%: 52.44, AT%: 47.56
  Start: 2715001, End: 2720000, Banda R, GC%: 52.0, AT%: 48.0
  Start: 2720001, End: 2725000, Banda G, GC%: 49.5, AT%: 50.5
  Start: 2725001, End: 2730000, Banda R, GC%: 50.94, AT%: 49.06
  Start: 2730001, End: 2735000, Banda G, GC%: 49.52, AT%: 50.48
  Start: 2735001, End: 2740000, Banda R, GC%: 50.94, AT%: 49.06
  Start: 2740001, End: 2745000, Banda G, GC%: 41.52, AT%: 58.48
  Start: 2745001, End: 2750000, Banda G, GC%: 36.22, AT%: 63.78
  Start: 2750001, End: 2755000, Banda G, GC%: 36.42, AT%: 63.58
  Start: 2755001, End: 2760000, Banda G, GC%: 47.42, AT%: 52.58
  Start: 2760001, End: 2765000, Banda G, GC%: 49.02, AT%: 50.98
  Start: 2765001, End: 2770000, Banda G, GC%: 38.8, AT%: 61.2
  Start: 2770001, End: 2775000, Banda G, GC%: 33.84, AT%: 66.16
  Start: 2775001, End: 2780000, Banda G, GC%: 31.2, AT%: 68.8
  Start: 2780001, End: 2785000, Banda G, GC%: 32.4, AT%: 67.6
  Start: 2785001, End: 2790000, Banda G, GC%: 44.26, AT%: 55.74
  Start: 2790001, End: 2795000, Banda G, GC%: 41.34, AT%: 58.66
  Start: 2795001, End: 2800000, Banda G, GC%: 36.2, AT%: 63.8
  Start: 2800001, End: 2805000, Banda R, GC%: 50.28, AT%: 49.72
  Start: 2805001, End: 2810000, Banda G, GC%: 49.8, AT%: 50.2
  Start: 2810001, End: 2815000, Banda R, GC%: 50.16, AT%: 49.84
  Start: 2815001, End: 2820000, Banda R, GC%: 50.92, AT%: 49.08
  Start: 2820001, End: 2825000, Banda R, GC%: 53.58, AT%: 46.42
  Start: 2825001, End: 2830000, Banda R, GC%: 50.36, AT%: 49.64
  Start: 2830001, End: 2835000, Banda R, GC%: 52.52, AT%: 47.48
  Start: 2835001, End: 2840000, Banda R, GC%: 51.66, AT%: 48.34
  Start: 2840001, End: 2845000, Banda R, GC%: 50.34, AT%: 49.66
  Start: 2845001, End: 2850000, Banda G, GC%: 48.46, AT%: 51.54
  Start: 2850001, End: 2855000, Banda G, GC%: 45.68, AT%: 54.32
  Start: 2855001, End: 2860000, Banda G, GC%: 48.7, AT%: 51.3
  Start: 2860001, End: 2865000, Banda G, GC%: 49.7, AT%: 50.3
  Start: 2865001, End: 2870000, Banda R, GC%: 50.34, AT%: 49.66
  Start: 2870001, End: 2875000, Banda G, GC%: 48.66, AT%: 51.34
  Start: 2875001, End: 2880000, Banda R, GC%: 50.18, AT%: 49.82
  Start: 2880001, End: 2885000, Banda G, GC%: 49.82, AT%: 50.18
  Start: 2885001, End: 2890000, Banda G, GC%: 47.24, AT%: 52.76
  Start: 2890001, End: 2895000, Banda G, GC%: 47.88, AT%: 52.12
  Start: 2895001, End: 2900000, Banda G, GC%: 48.14, AT%: 51.86
  Start: 2900001, End: 2905000, Banda G, GC%: 48.78, AT%: 51.22
  Start: 2905001, End: 2910000, Banda G, GC%: 48.3, AT%: 51.7
  Start: 2910001, End: 2915000, Banda R, GC%: 50.14, AT%: 49.86
  Start: 2915001, End: 2920000, Banda G, GC%: 49.44, AT%: 50.56
  Start: 2920001, End: 2925000, Banda R, GC%: 53.2, AT%: 46.8
  Start: 2925001, End: 2930000, Banda G, GC%: 49.9, AT%: 50.1
  Start: 2930001, End: 2935000, Banda G, GC%: 48.78, AT%: 51.22
  Start: 2935001, End: 2940000, Banda R, GC%: 51.62, AT%: 48.38
  Start: 2940001, End: 2945000, Banda R, GC%: 50.5, AT%: 49.5
>NZ_CP043556.1 Vibrio cholerae strain RFB16 chromosome 2, complete sequence
  Start: 1, End: 5000, Banda G, GC%: 44.02, AT%: 55.98
  Start: 5001, End: 10000, Banda G, GC%: 43.92, AT%: 56.08
  Start: 10001, End: 15000, Banda G, GC%: 42.28, AT%: 57.72
  Start: 15001, End: 20000, Banda G, GC%: 44.14, AT%: 55.86
  Start: 20001, End: 25000, Banda G, GC%: 46.14, AT%: 53.86
  Start: 25001, End: 30000, Banda G, GC%: 48.34, AT%: 51.66
  Start: 30001, End: 35000, Banda G, GC%: 47.26, AT%: 52.74
  Start: 35001, End: 40000, Banda G, GC%: 47.44, AT%: 52.56
  Start: 40001, End: 45000, Banda G, GC%: 49.04, AT%: 50.96
  Start: 45001, End: 50000, Banda G, GC%: 48.72, AT%: 51.28
  Start: 50001, End: 55000, Banda G, GC%: 48.56, AT%: 51.44
  Start: 55001, End: 60000, Banda G, GC%: 49.88, AT%: 50.12
  Start: 60001, End: 65000, Banda R, GC%: 50.06, AT%: 49.94
  Start: 65001, End: 70000, Banda G, GC%: 46.92, AT%: 53.08
  Start: 70001, End: 75000, Banda G, GC%: 45.2, AT%: 54.8
  Start: 75001, End: 80000, Banda R, GC%: 50.34, AT%: 49.66
  Start: 80001, End: 85000, Banda G, GC%: 49.62, AT%: 50.38
  Start: 85001, End: 90000, Banda G, GC%: 48.92, AT%: 51.08
  Start: 90001, End: 95000, Banda G, GC%: 47.98, AT%: 52.02
  Start: 95001, End: 100000, Banda G, GC%: 48.5, AT%: 51.5
  Start: 100001, End: 105000, Banda G, GC%: 47.08, AT%: 52.92
  Start: 105001, End: 110000, Banda G, GC%: 47.38, AT%: 52.62
  Start: 110001, End: 115000, Banda G, GC%: 43.46, AT%: 56.54
  Start: 115001, End: 120000, Banda G, GC%: 48.82, AT%: 51.18
  Start: 120001, End: 125000, Banda G, GC%: 49.06, AT%: 50.94
  Start: 125001, End: 130000, Banda G, GC%: 49.1, AT%: 50.9
  Start: 130001, End: 135000, Banda G, GC%: 47.3, AT%: 52.7
  Start: 135001, End: 140000, Banda G, GC%: 45.3, AT%: 54.7
  Start: 140001, End: 145000, Banda G, GC%: 45.76, AT%: 54.24
  Start: 145001, End: 150000, Banda G, GC%: 48.56, AT%: 51.44
  Start: 150001, End: 155000, Banda G, GC%: 49.34, AT%: 50.66
  Start: 155001, End: 160000, Banda R, GC%: 50.46, AT%: 49.54
  Start: 160001, End: 165000, Banda G, GC%: 48.7, AT%: 51.3
  Start: 165001, End: 170000, Banda G, GC%: 48.56, AT%: 51.44
  Start: 170001, End: 175000, Banda R, GC%: 50.8, AT%: 49.2
  Start: 175001, End: 180000, Banda R, GC%: 50.22, AT%: 49.78
  Start: 180001, End: 185000, Banda G, GC%: 45.36, AT%: 54.64
  Start: 185001, End: 190000, Banda G, GC%: 47.6, AT%: 52.4
  Start: 190001, End: 195000, Banda G, GC%: 47.58, AT%: 52.42
  Start: 195001, End: 200000, Banda R, GC%: 50.84, AT%: 49.16
  Start: 200001, End: 205000, Banda G, GC%: 49.32, AT%: 50.68
  Start: 205001, End: 210000, Banda G, GC%: 46.56, AT%: 53.44
  Start: 210001, End: 215000, Banda G, GC%: 49.66, AT%: 50.34
  Start: 215001, End: 220000, Banda G, GC%: 47.74, AT%: 52.26
  Start: 220001, End: 225000, Banda R, GC%: 51.04, AT%: 48.96
  Start: 225001, End: 230000, Banda R, GC%: 50.54, AT%: 49.46
  Start: 230001, End: 235000, Banda G, GC%: 48.0, AT%: 52.0
  Start: 235001, End: 240000, Banda G, GC%: 46.84, AT%: 53.16
  Start: 240001, End: 245000, Banda G, GC%: 46.68, AT%: 53.32
  Start: 245001, End: 250000, Banda G, GC%: 47.66, AT%: 52.34
  Start: 250001, End: 255000, Banda G, GC%: 46.9, AT%: 53.1
  Start: 255001, End: 260000, Banda G, GC%: 49.0, AT%: 51.0
  Start: 260001, End: 265000, Banda G, GC%: 47.9, AT%: 52.1
  Start: 265001, End: 270000, Banda G, GC%: 47.56, AT%: 52.44
  Start: 270001, End: 275000, Banda G, GC%: 46.54, AT%: 53.46
  Start: 275001, End: 280000, Banda G, GC%: 48.2, AT%: 51.8
  Start: 280001, End: 285000, Banda G, GC%: 46.3, AT%: 53.7
  Start: 285001, End: 290000, Banda G, GC%: 49.0, AT%: 51.0
  Start: 290001, End: 295000, Banda G, GC%: 49.8, AT%: 50.2
  Start: 295001, End: 300000, Banda R, GC%: 51.9, AT%: 48.1
  Start: 300001, End: 305000, Banda G, GC%: 48.16, AT%: 51.84
  Start: 305001, End: 310000, Banda G, GC%: 49.94, AT%: 50.06
  Start: 310001, End: 315000, Banda G, GC%: 49.64, AT%: 50.36
  Start: 315001, End: 320000, Banda G, GC%: 44.74, AT%: 55.26
  Start: 320001, End: 325000, Banda G, GC%: 42.44, AT%: 57.56
  Start: 325001, End: 330000, Banda G, GC%: 42.64, AT%: 57.36
  Start: 330001, End: 335000, Banda G, GC%: 44.36, AT%: 55.64
  Start: 335001, End: 340000, Banda R, GC%: 51.86, AT%: 48.14
  Start: 340001, End: 345000, Banda R, GC%: 52.24, AT%: 47.76
  Start: 345001, End: 350000, Banda G, GC%: 39.34, AT%: 60.66
  Start: 350001, End: 355000, Banda G, GC%: 39.28, AT%: 60.72
  Start: 355001, End: 360000, Banda R, GC%: 50.84, AT%: 49.16
  Start: 360001, End: 365000, Banda R, GC%: 50.86, AT%: 49.14
  Start: 365001, End: 370000, Banda G, GC%: 49.82, AT%: 50.18
  Start: 370001, End: 375000, Banda G, GC%: 34.9, AT%: 65.1
  Start: 375001, End: 380000, Banda G, GC%: 42.16, AT%: 57.84
  Start: 380001, End: 385000, Banda G, GC%: 49.32, AT%: 50.68
  Start: 385001, End: 390000, Banda G, GC%: 43.24, AT%: 56.76
  Start: 390001, End: 395000, Banda G, GC%: 39.24, AT%: 60.76
  Start: 395001, End: 400000, Banda R, GC%: 50.28, AT%: 49.72
  Start: 400001, End: 405000, Banda G, GC%: 47.66, AT%: 52.34
  Start: 405001, End: 410000, Banda G, GC%: 49.84, AT%: 50.16
  Start: 410001, End: 415000, Banda G, GC%: 47.72, AT%: 52.28
  Start: 415001, End: 420000, Banda G, GC%: 46.36, AT%: 53.64
  Start: 420001, End: 425000, Banda R, GC%: 50.44, AT%: 49.56
  Start: 425001, End: 430000, Banda G, GC%: 46.3, AT%: 53.7
  Start: 430001, End: 435000, Banda G, GC%: 49.48, AT%: 50.52
  Start: 435001, End: 440000, Banda G, GC%: 48.38, AT%: 51.62
  Start: 440001, End: 445000, Banda G, GC%: 45.86, AT%: 54.14
  Start: 445001, End: 450000, Banda G, GC%: 46.84, AT%: 53.16
  Start: 450001, End: 455000, Banda G, GC%: 46.58, AT%: 53.42
  Start: 455001, End: 460000, Banda G, GC%: 42.48, AT%: 57.52
  Start: 460001, End: 465000, Banda G, GC%: 45.3, AT%: 54.7
  Start: 465001, End: 470000, Banda G, GC%: 45.26, AT%: 54.74
  Start: 470001, End: 475000, Banda G, GC%: 47.38, AT%: 52.62
  Start: 475001, End: 480000, Banda G, GC%: 46.42, AT%: 53.58
  Start: 480001, End: 485000, Banda G, GC%: 45.8, AT%: 54.2
  Start: 485001, End: 490000, Banda R, GC%: 51.46, AT%: 48.54
  Start: 490001, End: 495000, Banda R, GC%: 50.94, AT%: 49.06
  Start: 495001, End: 500000, Banda G, GC%: 48.38, AT%: 51.62
  Start: 500001, End: 505000, Banda G, GC%: 46.6, AT%: 53.4
  Start: 505001, End: 510000, Banda R, GC%: 50.04, AT%: 49.96
  Start: 510001, End: 515000, Banda G, GC%: 48.68, AT%: 51.32
  Start: 515001, End: 520000, Banda G, GC%: 47.7, AT%: 52.3
  Start: 520001, End: 525000, Banda G, GC%: 48.2, AT%: 51.8
  Start: 525001, End: 530000, Banda G, GC%: 46.54, AT%: 53.46
  Start: 530001, End: 535000, Banda G, GC%: 45.46, AT%: 54.54
  Start: 535001, End: 540000, Banda G, GC%: 47.52, AT%: 52.48
  Start: 540001, End: 545000, Banda G, GC%: 48.74, AT%: 51.26
  Start: 545001, End: 550000, Banda R, GC%: 50.76, AT%: 49.24
  Start: 550001, End: 555000, Banda G, GC%: 47.3, AT%: 52.7
  Start: 555001, End: 560000, Banda G, GC%: 48.38, AT%: 51.62
  Start: 560001, End: 565000, Banda G, GC%: 48.2, AT%: 51.8
  Start: 565001, End: 570000, Banda G, GC%: 47.28, AT%: 52.72
  Start: 570001, End: 575000, Banda G, GC%: 49.72, AT%: 50.28
  Start: 575001, End: 580000, Banda G, GC%: 47.9, AT%: 52.1
  Start: 580001, End: 585000, Banda G, GC%: 49.86, AT%: 50.14
  Start: 585001, End: 590000, Banda G, GC%: 46.66, AT%: 53.34
  Start: 590001, End: 595000, Banda G, GC%: 47.32, AT%: 52.68
  Start: 595001, End: 600000, Banda G, GC%: 47.24, AT%: 52.76
  Start: 600001, End: 605000, Banda G, GC%: 45.92, AT%: 54.08
  Start: 605001, End: 610000, Banda G, GC%: 47.62, AT%: 52.38
  Start: 610001, End: 615000, Banda G, GC%: 48.12, AT%: 51.88
  Start: 615001, End: 620000, Banda G, GC%: 49.38, AT%: 50.62
  Start: 620001, End: 625000, Banda G, GC%: 48.62, AT%: 51.38
  Start: 625001, End: 630000, Banda G, GC%: 49.3, AT%: 50.7
  Start: 630001, End: 635000, Banda G, GC%: 43.94, AT%: 56.06
  Start: 635001, End: 640000, Banda G, GC%: 47.38, AT%: 52.62
  Start: 640001, End: 645000, Banda G, GC%: 48.1, AT%: 51.9
  Start: 645001, End: 650000, Banda R, GC%: 51.82, AT%: 48.18
  Start: 650001, End: 655000, Banda R, GC%: 50.7, AT%: 49.3
  Start: 655001, End: 660000, Banda G, GC%: 43.68, AT%: 56.32
  Start: 660001, End: 665000, Banda G, GC%: 45.32, AT%: 54.68
  Start: 665001, End: 670000, Banda G, GC%: 47.12, AT%: 52.88
  Start: 670001, End: 675000, Banda G, GC%: 46.02, AT%: 53.98
  Start: 675001, End: 680000, Banda G, GC%: 46.66, AT%: 53.34
  Start: 680001, End: 685000, Banda G, GC%: 45.84, AT%: 54.16
  Start: 685001, End: 690000, Banda G, GC%: 48.16, AT%: 51.84
  Start: 690001, End: 695000, Banda G, GC%: 48.18, AT%: 51.82
  Start: 695001, End: 700000, Banda G, GC%: 48.78, AT%: 51.22
